0,1
SUMMARY OF PARTIES TO THE TRANSACTION,6
SUMMARY OF MONTHLY DISTRIBUTIONS OF COLLECTIONS,7
SUMMARY OF TERMS,8
SUMMARY OF RISK FACTORS,26
RISK FACTORS,28
THE ISSUING ENTITY,48
CAPITALIZATION OF THE ISSUING ENTITY,50
THE DEPOSITOR,51
"THE SPONSOR, ADMINISTRATOR AND SERVICER",52
Credit Risk Retention,53
Underwriting of Motor Vehicle Retail Installment Sales Contracts,53
Electronic Contracts and Electronic Contracting,55
Servicing of Motor Vehicle Retail Installment Sales Contracts,55
Securitization Experience,57
THE TRUSTEES,57
Duties of the Owner Trustee and Indenture Trustee,59
FEES AND EXPENSES,60
ASSET REPRESENTATIONS REVIEWER,61
General,61
Resignation and Removal,61
Indemnity and Liability,62
AFFILIATIONS AND CERTAIN RELATIONSHIPS,62
THE RECEIVABLES,62
Asset-Level Data for the Receivables,71
POOL UNDERWRITING,72
REVIEW OF POOL ASSETS,72
"DELINQUENCIES, REPOSSESSIONS AND NET LOSSES",73
ASSET REPRESENTATIONS REVIEW,76
Delinquency Trigger,78
REPURCHASES OF RECEIVABLES,79
Dispute Resolution,81
STATIC POOLS,82
USE OF PROCEEDS,82
PREPAYMENT AND YIELD CONSIDERATIONS,82
WEIGHTED AVERAGE LIVES OF THE NOTES,84
POOL FACTORS AND TRADING INFORMATION,101
DESCRIPTION OF THE NOTES,101
General,101
Payments of Interest,101
Payments of Principal,106
Allocation of Losses,107
Indenture,107
Notices,111
Governing Law,111
Minimum Denominations,111
Book-Entry Registration,112
Definitive Securities,116
List of Securityholders,116
Reports to Securityholders,116
PAYMENTS TO NOTEHOLDERS,118
Calculation of Available Collections,118
Calculation of Principal Distribution Amounts,119
Priority of Payments,120
Payments After Occurrence of Event of Default Resulting in Acceleration,120
