0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
"November 15, 2028",,100%,,0%,,0%,,0%,,0%
"December 15, 2028",,100%,,0%,,0%,,0%,,0%
"January 15, 2029",,100%,,0%,,0%,,0%,,0%
"February 15, 2029",,100%,,0%,,0%,,0%,,0%
"March 15, 2029",,100%,,0%,,0%,,0%,,0%
"April 15, 2029",,100%,,0%,,0%,,0%,,0%
"May 15, 2029",,100%,,0%,,0%,,0%,,0%
"June 15, 2029",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,4.89,,4.14,,3.73,,3.39,,2.73
Weighted Average Life (Years) to Maturity,,5.15,,4.42,,3.97,,3.56,,2.89
