0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,Class A-1 Notes,
Payment Date,,0.00%,0.00%,,,0.50%,0.50%,,,1.00%,,,1.30%,,,1.50%,1.50%,,,2.00%,2.00%,
Closing Date,,,100.00,%,,,100.00,%,,100.00,%,,100.00,%,,,100.00,%,,,100.00,%
October 2025,,,84.87,%,,,80.54,%,,75.58,%,,72.25,%,,,69.84,%,,,62.99,%
November 2025,,,76.85,%,,,69.93,%,,62.00,%,,56.67,%,,,52.82,%,,,41.90,%
December 2025,,,68.78,%,,,59.36,%,,48.58,%,,41.32,%,,,36.09,%,,,21.27,%
January 2026,,,60.66,%,,,48.83,%,,35.31,%,,26.20,%,,,19.64,%,,,1.10,%
February 2026,,,52.47,%,,,38.34,%,,22.19,%,,11.32,%,,,3.48,%,,,0.00,%
March 2026,,,44.24,%,,,27.90,%,,9.23,%,,0.00,%,,,0.00,%,,,0.00,%
April 2026,,,35.95,%,,,17.50,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
May 2026,,,27.60,%,,,7.15,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
June 2026,,,19.19,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
July 2026,,,10.77,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
August 2026,,,2.32,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
September 2026,,,0.00,%,,,0.00,%,,0.00,%,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life to Call (years)(1),,,0.48,,,,0.37,,,0.29,,,0.25,,,,0.23,,,,0.18,
Weighted Average Life to Maturity (years)(2),,,0.48,,,,0.37,,,0.29,,,0.25,,,,0.23,,,,0.18,
