0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Underwriters,,,Class A-1 Notes(1),,,,Class A-2  Notes(1),,,,Class A-3 Notes(1),,,,Class A-4 Notes(1),
"BofA Securities, Inc.",,$,●,,,$,●,,,$,●,,,$,●,
BNP Paribas Securities Corp.,,$,●,,,$,●,,,$,●,,,$,●,
Deutsche Bank Securities Inc.,,$,●,,,$,●,,,$,●,,,$,●,
TD Securities (USA) LLC,,$,●,,,$,●,,,$,●,,,$,●,
"ANZ Securities, Inc.",,$,●,,,$,●,,,$,●,,,$,●,
"BNY Mellon Capital Markets, LLC",,$,●,,,$,●,,,$,●,,,$,●,
ING Financial Markets LLC,,$,●,,,$,●,,,$,●,,,$,●,
MUFG Securities Americas Inc.,,$,●,,,$,●,,,$,●,,,$,●,
Total,,$,●,,,$,●,,,$,●,,,$,●,
