0,1,2,3,4,5,6,7,8,9,10
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"June 15, 2025",,100%,,100%,,100%,,100%,,100%
"July 15, 2025",,100%,,100%,,100%,,100%,,96%
"August 15, 2025",,100%,,94%,,85%,,81%,,73%
"September 15, 2025",,90%,,80%,,72%,,68%,,59%
"October 15, 2025",,82%,,69%,,62%,,56%,,45%
"November 15, 2025",,74%,,59%,,51%,,44%,,31%
"December 15, 2025",,66%,,49%,,40%,,33%,,17%
"January 15, 2026",,58%,,39%,,30%,,21%,,4%
"February 15, 2026",,50%,,29%,,19%,,10%,,0%
"March 15, 2026",,42%,,20%,,9%,,0%,,0%
"April 15, 2026",,34%,,10%,,0%,,0%,,0%
"May 15, 2026",,26%,,1%,,0%,,0%,,0%
"June 15, 2026",,19%,,0%,,0%,,0%,,0%
"July 15, 2026",,11%,,0%,,0%,,0%,,0%
"August 15, 2026",,3%,,0%,,0%,,0%,,0%
"September 15, 2026",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,0.77,,0.60,,0.54,,0.49,,0.41
Weighted Average Life (Years) to Maturity,,0.77,,0.60,,0.54,,0.49,,0.41
