0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Date,,0.00%,0.00%,,,0.50%,0.50%,,,0.90%,0.90%,,,1.10%,1.10%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.80%,1.80%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
04/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
05/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
06/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
07/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
08/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
09/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
10/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
11/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
12/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
01/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
02/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
03/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
04/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
05/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
06/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,93.20,%
07/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,85.51,%
08/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,99.72,%,,,78.19,%
