0,1,2,3,4,5,6,7,8,9,10,11,12
,,Gross  Charge-off Current Period,Gross  Charge-off Current Period,,,Recoveries,,Net  Charge-off,,Cumulative  Net  Charge-off,Cumulative  Net  Charge-off,
21-Jul,,$,41782.43,,,$0.00,,"$41,782.43",,,0.00,%(2)
21-Aug,,$,109874.21,,,"($29,964.28)",,"$79,909.93",,,0.01,%
21-Sep,,$,264782.32,,,"($74,116.38)",,"$190,665.94",,,0.02,%
21-Oct,,$,632950.45,,,"($104,042.12)",,"$528,908.33",,,0.06,%
21-Nov,,$,879344.31,,,"($263,598.48)",,"$615,745.83",,,0.10,%
21-Dec,,$,799794.80,,,"($207,032.33)",,"$592,762.47",,,0.15,%
22-Jan,,$,932706.47,,,"($292,278.01)",,"$640,428.46",,,0.19,%
22-Feb,,$,1062007.10,,,"($459,537.64)",,"$602,469.46",,,0.24,%
22-Mar,,$,1043297.35,,,"($466,300.04)",,"$576,997.31",,,0.28,%
22-Apr,,$,853270.45,,,"($486,195.17)",,"$367,075.28",,,0.30,%
22-May,,$,426113.99,,,"($438,597.32)",,"($12,483.33)",,,0.30,%
22-Jun,,$,807725.12,,,"($319,789.82)",,"$487,935.30",,,0.34,%
22-Jul,,$,955271.08,,,"($496,245.29)",,"$459,025.79",,,0.37,%
22-Aug,,$,1049915.72,,,"($366,113.23)",,"$683,802.49",,,0.42,%
22-Sep,,$,789211.52,,,"($668,859.09)",,"$120,352.43",,,0.43,%
22-Oct,,$,1157839.70,,,"($370,181.88)",,"$787,657.82",,,0.48,%
22-Nov,,$,870763.99,,,"($482,722.51)",,"$388,041.48",,,0.51,%
22-Dec,,$,496559.80,,,"($378,643.57)",,"$117,916.23",,,0.52,%
23-Jan,,$,1106986.27,,,"($487,961.82)",,"$619,024.45",,,0.56,%
23-Feb,,$,861976.19,,,"($313,600.43)",,"$548,375.76",,,0.60,%
23-Mar,,$,596459.51,,,"($681,521.30)",,"($85,061.79)",,,0.60,%
23-Apr,,$,777918.10,,,"($438,807.95)",,"$339,110.15",,,0.62,%
23-May,,$,743577.89,,,"($468,617.25)",,"$274,960.64",,,0.64,%
23-Jun,,$,595884.52,,,"($420,945.75)",,"$174,938.77",,,0.65,%
23-Jul,,$,582905.62,,,"($319,921.34)",,"$262,984.28",,,0.67,%
23-Aug,,$,668205.72,,,"($284,373.88)",,"$383,831.84",,,0.70,%
23-Sep,,$,658747.43,,,"($376,852.95)",,"$281,894.48",,,0.72,%
23-Oct,,$,496059.01,,,"($323,338.14)",,"$172,720.87",,,0.73,%
23-Nov,,$,619263.99,,,"($372,778.24)",,"$246,485.75",,,0.75,%
23-Dec,,$,667401.52,,,"($391,179.47)",,"$276,222.05",,,0.77,%
24-Jan,,$,590232.93,,,"($376,186.11)",,"$214,046.82",,,0.78,%
24-Feb,,$,513207.34,,,"($290,067.80)",,"$223,139.54",,,0.80,%
24-Mar,,$,474927.82,,,"($447,092.63)",,"$27,835.19",,,0.80,%
24-Apr,,$,460355.69,,,"($274,566.25)",,"$185,789.44",,,0.82,%
24-May,,$,381588.60,,,"($316,832.84)",,"$64,755.76",,,0.82,%
24-Jun,,$,266496.18,,,"($291,669.85)",,"($25,173.67)",,,0.82,%
24-Jul,,$,419335.73,,,"($182,632.98)",,"$236,702.75",,,0.84,%
24-Aug,,$,216311.55,,,"($247,242.10)",,"($30,930.55)",,,0.83,%
24-Sep,,$,343722.84,,,"($263,170.07)",,"$80,552.77",,,0.84,%
24-Oct,,$,240624.46,,,"($301,706.55)",,"($61,082.09)",,,0.83,%
24-Nov,,$,258140.31,,,"($206,332.81)",,"$51,807.50",,,0.84,%
24-Dec,,$,328556.76,,,"($100,125.35)",,"$228,431.41",,,0.85,%
25-Jan,,$,166856.72,,,"($231,894.72)",,"($65,038.00)",,,0.85,%
25-Feb,,$,284370.36,,,"($238,362.58)",,"$46,007.78",,,0.85,%
25-Mar,,$,242276.97,,,"($274,729.98)",,"($32,453.01)",,,0.85,%
25-Apr,,$,172477.88,,,"($203,400.79)",,"($30,922.91)",,,0.85,%
25-May,,$,200394.51,,,"($200,567.45)",,($172.94),,,0.85,%
25-Jun,,$,43362.70,,,"($135,059.87)",,"($91,697.17)",,,0.84,%
25-Jul,,$,165123.81,,,"($93,760.97)",,"$71,362.84",,,0.85,%
25-Aug,,$,139333.43,,,"($229,184.95)",,"($89,851.52)",,,0.84,%
25-Sep,,$,103159.77,,,"($158,886.03)",,"($55,726.26)",,,0.84,%
25-Oct,,$,140511.31,,,"($153,434.22)",,"($12,922.91)",,,0.84,%
25-Nov,,$,121981.41,,,"($79,956.91)",,"$42,024.50",,,0.84,%
