0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
Payment Date,,0.25%,0.25%,,,0.50%,0.50%,,,1.00%,1.00%,,,1.50%,1.50%,,,2.00%,2.00%,,,3.00%,3.00%,
"May 15, 2029",,,100.00,%,,,100.00,%,,,58.47,%,,,0.00,%,,,0.00,%,,,0.00,%
"June 15, 2029",,,100.00,%,,,100.00,%,,,49.78,%,,,0.00,%,,,0.00,%,,,0.00,%
"July 15, 2029",,,100.00,%,,,100.00,%,,,41.28,%,,,0.00,%,,,0.00,%,,,0.00,%
"August 15, 2029",,,100.00,%,,,92.81,%,,,32.98,%,,,0.00,%,,,0.00,%,,,0.00,%
"September 15, 2029",,,100.00,%,,,81.64,%,,,24.86,%,,,0.00,%,,,0.00,%,,,0.00,%
"October 15, 2029",,,96.86,%,,,70.46,%,,,16.95,%,,,0.00,%,,,0.00,%,,,0.00,%
"November 15, 2029",,,86.06,%,,,60.98,%,,,10.14,%,,,0.00,%,,,0.00,%,,,0.00,%
"December 15, 2029",,,75.16,%,,,51.49,%,,,3.50,%,,,0.00,%,,,0.00,%,,,0.00,%
"January 15, 2030",,,64.16,%,,,41.99,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"February 15, 2030",,,53.06,%,,,32.48,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"March 15, 2030",,,41.87,%,,,22.97,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"April 15, 2030",,,30.57,%,,,13.45,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"May 15, 2030",,,19.17,%,,,3.93,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"June 15, 2030",,,7.66,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
"July 15, 2030",,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life (Years) to Call,,,5.13,,,,4.96,,,,4.45,,,,3.72,,,,3.01,,,,2.07,
Weighted Average Life (Years) to Maturity,,,5.13,,,,4.96,,,,4.45,,,,3.72,,,,3.01,,,,2.07,
